TABLE_NAME,COLUMN_NAME,DATA_TYPE
ADDRESS_HIST_DIM,ADDRESS_END_DATE,datetime2
ADDRESS_HIST_DIM,ADDRESS_ID,int
ADDRESS_HIST_DIM,ADDRESS_START_DATE,datetime2
ADDRESS_HIST_DIM,ADDRESS_TYPE,nvarchar
ADDRESS_HIST_DIM,LSOA,nvarchar
ADDRESS_HIST_DIM,ORGANISATION,nvarchar
ADDRESS_HIST_DIM,rid,varchar
ADDRESS_HIST_DIM,trid,int
ADDRESS_HIST_DIM,nhshash,varchar
ADDRESS_HIST_DIM,_when_processed_utc,datetime
ASSESSMENT_FORM_FACT,ANSWER_ID,decimal
ASSESSMENT_FORM_FACT,COMPLETED_DATE,datetime2
ASSESSMENT_FORM_FACT,COMPLETE_BY_DEPARTMENT,nvarchar
ASSESSMENT_FORM_FACT,FORM_DESCRIPTION,nvarchar
ASSESSMENT_FORM_FACT,FORM_ID,int
ASSESSMENT_FORM_FACT,FORM_MOST_RECENT_UPDATE,datetime2
ASSESSMENT_FORM_FACT,FORM_TYPE_ID_CODE,nvarchar
ASSESSMENT_FORM_FACT,rid,varchar
ASSESSMENT_FORM_FACT,trid,int
ASSESSMENT_FORM_FACT,nhshash,varchar
ASSESSMENT_FORM_FACT,QUESTION,nvarchar
ASSESSMENT_FORM_FACT,_when_processed_utc,datetime
CATEGORY_OF_NEED_FACT,CATEGORY_OF_NEED,nvarchar
CATEGORY_OF_NEED_FACT,NEED_END_DATE,datetime2
CATEGORY_OF_NEED_FACT,NEED_ID,int
CATEGORY_OF_NEED_FACT,NEED_START_DATE,datetime2
CATEGORY_OF_NEED_FACT,rid,varchar
CATEGORY_OF_NEED_FACT,trid,int
CATEGORY_OF_NEED_FACT,nhshash,varchar
CATEGORY_OF_NEED_FACT,REFERRAL_ID,int
CATEGORY_OF_NEED_FACT,_when_processed_utc,datetime
CLA_FACT,CATEGORY_OF_NEED,nvarchar
CLA_FACT,CLA_CEASED_REASON,nvarchar
CLA_FACT,CLA_ID,int
CLA_FACT,CLA_REASON,nvarchar
CLA_FACT,DATE_BECAME_LOOKED_AFTER,datetime2
CLA_FACT,DATE_CEASED_LOOKED_AFTER,datetime2
CLA_FACT,LEGAL_STATUS,nvarchar
CLA_FACT,rid,varchar
CLA_FACT,trid,int
CLA_FACT,nhshash,varchar
CLA_FACT,REFERRAL_ID,int
CLA_FACT,_when_processed_utc,datetime
CONTACT_FACT,CNT_OUTCOME_ADVICE,nchar
CONTACT_FACT,CNT_OUTCOME_CP_ENQUIRY,nchar
CONTACT_FACT,CNT_OUTCOME_EXISTING_REFERRAL,nchar
CONTACT_FACT,CNT_OUTCOME_MISSING,nchar
CONTACT_FACT,CNT_OUTCOME_NEW_REFERRAL,nchar
CONTACT_FACT,CNT_OUTCOME_NFA,nchar
CONTACT_FACT,CNT_OUTCOME_NON_AGENCY_ADOPTION,nchar
CONTACT_FACT,CNT_OUTCOME_OTHER_LOCAL_AUTH_CP,nchar
CONTACT_FACT,CNT_OUTCOME_PRIVATE_FOSTERING,nchar
CONTACT_FACT,CONTACT_DATE,datetime2
CONTACT_FACT,CONTACT_ID,int
CONTACT_FACT,CONTACT_REASON,nvarchar
CONTACT_FACT,CONTACT_SOURCE,nvarchar
CONTACT_FACT,DEPARTMENT,nvarchar
CONTACT_FACT,rid,varchar
CONTACT_FACT,trid,int
CONTACT_FACT,nhshash,varchar
CONTACT_FACT,REFERRAL_ID,int
CONTACT_FACT,_when_processed_utc,datetime
CP_PLAN_FACT,CP_CATEGORY_DESC,nvarchar
CP_PLAN_FACT,CP_CATEGORY_EMOTIONAL,nchar
CP_PLAN_FACT,CP_CATEGORY_NEGLECT,nchar
CP_PLAN_FACT,CP_CATEGORY_PHYSICAL,nchar
CP_PLAN_FACT,CP_CATEGORY_SEXUAL,nchar
CP_PLAN_FACT,CP_END_DATE,datetime2
CP_PLAN_FACT,CP_PLAN_ID,int
CP_PLAN_FACT,CP_START_DATE,datetime2
CP_PLAN_FACT,rid,varchar
CP_PLAN_FACT,trid,int
CP_PLAN_FACT,nhshash,varchar
CP_PLAN_FACT,REFERRAL_ID,int
CP_PLAN_FACT,_when_processed_utc,datetime
DISABILITY_FACT,DISABILITY_CODE,nvarchar
DISABILITY_FACT,DISABILITY_DESCRIPTION,nvarchar
DISABILITY_FACT,DISABILITY_ID,int
DISABILITY_FACT,DIS_END_DATE,datetime2
DISABILITY_FACT,DIS_START_DATE,datetime2
DISABILITY_FACT,HEALTH_CONDITION,nvarchar
DISABILITY_FACT,rid,varchar
DISABILITY_FACT,trid,int
DISABILITY_FACT,nhshash,varchar
DISABILITY_FACT,_when_processed_utc,datetime
EARLY_HELP_CONTACT_FACT,CONTACT_DATE,datetime2
EARLY_HELP_CONTACT_FACT,CONTACT_SOURCE,nvarchar
EARLY_HELP_CONTACT_FACT,DEPARTMENT,nvarchar
EARLY_HELP_CONTACT_FACT,EHCNT_OUTCOME_EHCP,nchar
EARLY_HELP_CONTACT_FACT,EHCNT_OUTCOME_MASH,nchar
EARLY_HELP_CONTACT_FACT,EHCNT_OUTCOME_NFA,nchar
EARLY_HELP_CONTACT_FACT,EHNCT_OUTCOME_EHCP_TRANSFER,nchar
EARLY_HELP_CONTACT_FACT,EH_CONTACT_ID,int
EARLY_HELP_CONTACT_FACT,rid,varchar
EARLY_HELP_CONTACT_FACT,trid,int
EARLY_HELP_CONTACT_FACT,nhshash,varchar
EARLY_HELP_CONTACT_FACT,_when_processed_utc,datetime
LANGUAGE_FACT,LANGUAGE_CODE,nvarchar
LANGUAGE_FACT,LANGUAGE_DESC,nvarchar
LANGUAGE_FACT,LANGUAGE_ID,int
LANGUAGE_FACT,rid,varchar
LANGUAGE_FACT,trid,int
LANGUAGE_FACT,nhshash,varchar
LANGUAGE_FACT,PRIMARY_LANGUAGE,nchar
LANGUAGE_FACT,_when_processed_utc,datetime
PERSON_DIM,DATE_OF_DEATH,datetime2
PERSON_DIM,DOB,datetime2
PERSON_DIM,ETHNICITY_17_LEVEL,nvarchar
PERSON_DIM,ETHNICITY_CODE,nvarchar
PERSON_DIM,ETHNICITY_DESCRIPTION,nvarchar
PERSON_DIM,ETHNICITY_DFE_CODE,nvarchar
PERSON_DIM,GENDER,nvarchar
PERSON_DIM,IS_DISABLED,nchar
PERSON_DIM,NATIONALITY_CODE,nvarchar
PERSON_DIM,NATIONALITY_DESCRITPION,nvarchar
PERSON_DIM,nhshash,varchar
PERSON_DIM,rid,varchar
PERSON_DIM,trid,int
PERSON_DIM,RELIGION_CODE,nvarchar
PERSON_DIM,RELIGION_DESCRIPTION,nvarchar
PERSON_DIM,_when_processed_utc,datetime
REFERRAL_FACT,CONTACT_SOURCE,nvarchar
REFERRAL_FACT,rid,varchar
REFERRAL_FACT,trid,int
REFERRAL_FACT,nhshash,varchar
REFERRAL_FACT,PREVIOUS_REFERRAL_END,datetime2
REFERRAL_FACT,PREVIOUS_REFERRAL_START,datetime2
REFERRAL_FACT,REFERRAL_END_DATE,datetime2
REFERRAL_FACT,REFERRAL_END_REASON,nvarchar
REFERRAL_FACT,REFERRAL_ID,int
REFERRAL_FACT,REFERRAL_START_DATE,datetime2
REFERRAL_FACT,REFERRAL_TO_TEAM,nvarchar
REFERRAL_FACT,REF_OUTCOME_CARE_LEAVER,nchar
REFERRAL_FACT,REF_OUTCOME_CLA,nchar
REFERRAL_FACT,REF_OUTCOME_CP_CONFERENCE,nchar
REFERRAL_FACT,REF_OUTCOME_CP_TRANSFER_IN,nchar
REFERRAL_FACT,REF_OUTCOME_NFA,nchar
REFERRAL_FACT,REF_OUTCOME_NON_AGENCY_ADDOPTION,nchar
REFERRAL_FACT,REF_OUTCOME_PRIVATE_FOSTERING,nchar
REFERRAL_FACT,REF_OUTCOME_SINGLE_ASSESSMENT,nchar
REFERRAL_FACT,REF_OUTCOME_STRATEGY_DISCUSSION,nchar
REFERRAL_FACT,REREFERRAL_FLAG,nchar
REFERRAL_FACT,_when_processed_utc,datetime
S47_ENQUIRY_FACT,DIM_LOOKUP_STEP_SUMMARY_STATUS_DESC,nvarchar
S47_ENQUIRY_FACT,PARENT_PATHWAY,nvarchar
S47_ENQUIRY_FACT,rid,varchar
S47_ENQUIRY_FACT,trid,int
S47_ENQUIRY_FACT,nhshash,varchar
S47_ENQUIRY_FACT,REFERRAL_ID,int
S47_ENQUIRY_FACT,S47_ENQ_END_DATE,datetime2
S47_ENQUIRY_FACT,S47_ENQ_OUTCOME_CP_CONFERENCE,nchar
S47_ENQUIRY_FACT,S47_ENQ_OUTCOME_LEGAL_ACTION,nchar
S47_ENQUIRY_FACT,S47_ENQ_OUTCOME_MONITOR,nchar
S47_ENQUIRY_FACT,S47_ENQ_OUTCOME_NFA,nchar
S47_ENQUIRY_FACT,S47_ENQ_OUTCOME_NFA_CONT_CORE_ASSESSMENT,nchar
S47_ENQUIRY_FACT,S47_ENQ_OUTCOME_NFA_CONT_SINGLE_ASSESSMENT,nchar
S47_ENQUIRY_FACT,S47_ENQ_OUTCOME_PROV_OF_SHORT_BREAK_CARE,nchar
S47_ENQUIRY_FACT,S47_ENQ_OUTCOME_PROV_OF_SVCS,nchar
S47_ENQUIRY_FACT,S47_ENQ_START_DATE,datetime2
S47_ENQUIRY_FACT,S47_ID,int
S47_ENQUIRY_FACT,_when_processed_utc,datetime
SINGLE_ASSESSMENT_FACT,ASSESSMENT_END_DATE,datetime2
SINGLE_ASSESSMENT_FACT,ASSESSMENT_ID,int
SINGLE_ASSESSMENT_FACT,ASSESSMENT_START_DATE,datetime2
SINGLE_ASSESSMENT_FACT,ASSESS_OUTCOME_CLA_REQUEST,nchar
SINGLE_ASSESSMENT_FACT,ASSESS_OUTCOME_LEGAL_ACTION,nchar
SINGLE_ASSESSMENT_FACT,ASSESS_OUTCOME_NFA,nchar
SINGLE_ASSESSMENT_FACT,ASSESS_OUTCOME_NFA_S47_END,nchar
SINGLE_ASSESSMENT_FACT,ASSESS_OUTCOME_PRIV_FOSTERING,nchar
SINGLE_ASSESSMENT_FACT,ASSESS_OUTCOME_PROVISION_OF_SERVICE,nchar
SINGLE_ASSESSMENT_FACT,ASSESS_OUTCOME_PROV_SB_CARE,nchar
SINGLE_ASSESSMENT_FACT,ASSESS_OUTCOME_REF_OTHER_AGENCY,nchar
SINGLE_ASSESSMENT_FACT,ASSESS_OUTCOME_SPECIALIST_ASSESS,nchar
SINGLE_ASSESSMENT_FACT,ASSESS_OUTCOME_STRATEGY_DISCUSSION,nchar
SINGLE_ASSESSMENT_FACT,COMPLETED_BY_DEPT_NAME,nvarchar
SINGLE_ASSESSMENT_FACT,FORM_ID,int
SINGLE_ASSESSMENT_FACT,rid,varchar
SINGLE_ASSESSMENT_FACT,trid,int
SINGLE_ASSESSMENT_FACT,nhshash,varchar
SINGLE_ASSESSMENT_FACT,REFERRAL_ID,int
SINGLE_ASSESSMENT_FACT,_when_processed_utc,datetime
STRATEGY_DISCUSSION_FACT,DISCUSSION_ID,int
STRATEGY_DISCUSSION_FACT,MEETING_DATE,datetime2
STRATEGY_DISCUSSION_FACT,MEETING_ID,int
STRATEGY_DISCUSSION_FACT,rid,varchar
STRATEGY_DISCUSSION_FACT,trid,int
STRATEGY_DISCUSSION_FACT,nhshash,varchar
STRATEGY_DISCUSSION_FACT,REFERRAL_ID,int
STRATEGY_DISCUSSION_FACT,STR_DIS_OUTCOME_FOLLOW_UP_STR_DIS,nchar
STRATEGY_DISCUSSION_FACT,STR_DIS_OUTCOME_NFA,nchar
STRATEGY_DISCUSSION_FACT,STR_DIS_OUTCOME_POLICE_INVESTIGATION,nchar
STRATEGY_DISCUSSION_FACT,STR_DIS_OUTCOME_REF_OTHER_AGENCY,nchar
STRATEGY_DISCUSSION_FACT,STR_DIS_OUTCOME_S47_CONTINUE_EPISODE,nchar
STRATEGY_DISCUSSION_FACT,STR_DIS_OUTCOME_S47_INVESTIGATION,nchar
STRATEGY_DISCUSSION_FACT,STR_DIS_OUTCOME_SINGLE_ASSESSMENT,nchar
STRATEGY_DISCUSSION_FACT,_when_processed_utc,datetime
