TABLE_NAME,COLUMN_NAME,DATA_TYPE
AssessmentFormGroupsIndex,CreationDate,datetime
AssessmentFormGroupsIndex,CreationUser,nvarchar
AssessmentFormGroupsIndex,Deleted,bit
AssessmentFormGroupsIndex,Description,nvarchar
AssessmentFormGroupsIndex,ModifiedDate,datetime
AssessmentFormGroupsIndex,ModifiedUser,char
AssessmentFormGroupsIndex,Name,nvarchar
AssessmentFormGroupsIndex,Version,int
AssessmentFormGroupsIndex,crate_pk,bigint
AssessmentFormGroupsIndex,_src_hash,varchar
AssessmentFormGroupsStructure,AddedDate,datetime
AssessmentFormGroupsStructure,FormName,nvarchar
AssessmentFormGroupsStructure,FormOrder,int
AssessmentFormGroupsStructure,FormgroupVersion,int
AssessmentFormGroupsStructure,crate_pk,bigint
AssessmentFormGroupsStructure,_src_hash,varchar
AssessmentFormGroupsStructure,name,nvarchar
AssessmentFormsIndex,CreationDate,datetime
AssessmentFormsIndex,CreationUser,nvarchar
AssessmentFormsIndex,Deleted,bit
AssessmentFormsIndex,Description,nvarchar
AssessmentFormsIndex,InUse,bit
AssessmentFormsIndex,ModifiedDate,datetime
AssessmentFormsIndex,ModifiedUser,nvarchar
AssessmentFormsIndex,Name,nvarchar
AssessmentFormsIndex,PreviousForm,nvarchar
AssessmentFormsIndex,Style,tinyint
AssessmentFormsIndex,crate_pk,bigint
AssessmentFormsIndex,_src_hash,varchar
AssessmentFormsIndex,wflActivityCode,nvarchar
AssessmentIndex,CreationDate,datetime
AssessmentIndex,CreationUser,nvarchar
AssessmentIndex,DateBound,bit
AssessmentIndex,Deleted,bit
AssessmentIndex,Description,nvarchar
AssessmentIndex,InUse,bit
AssessmentIndex,ModifiedDate,datetime
AssessmentIndex,ModifiedUser,nvarchar
AssessmentIndex,Name,nvarchar
AssessmentIndex,RequiresClientID,bit
AssessmentIndex,Version,int
AssessmentIndex,crate_pk,bigint
AssessmentIndex,_src_hash,varchar
AssessmentMasterTableIndex,CreateDate,datetime
AssessmentMasterTableIndex,CreateUser,nvarchar
AssessmentMasterTableIndex,TableDescription,nvarchar
AssessmentMasterTableIndex,TableName,nvarchar
AssessmentMasterTableIndex,crate_pk,bigint
AssessmentMasterTableIndex,_src_hash,varchar
AssessmentPseudoForms,Link,nvarchar
AssessmentPseudoForms,LinkType,int
AssessmentPseudoForms,Name,nvarchar
AssessmentPseudoForms,crate_pk,bigint
AssessmentPseudoForms,_src_hash,varchar
AssessmentReadOnlyFields,Code,nvarchar
AssessmentReadOnlyFields,CodeDescription,nvarchar
AssessmentReadOnlyFields,Deleted,bit
AssessmentReadOnlyFields,SQLStatementLookup,nvarchar
AssessmentReadOnlyFields,SQLStatementSearch,nvarchar
AssessmentReadOnlyFields,crate_pk,bigint
AssessmentReadOnlyFields,_src_hash,varchar
AssessmentStructure,AddedDate,datetime
AssessmentStructure,AddedUser,nvarchar
AssessmentStructure,Assessment,nvarchar
AssessmentStructure,AssessmentVersion,int
AssessmentStructure,FormGroup,nvarchar
AssessmentStructure,FormGroupOrder,int
AssessmentStructure,FormGroupVersion,int
AssessmentStructure,crate_pk,bigint
AssessmentStructure,_src_hash,varchar
BloodSpotMessageResultsStatusCodes,Code,nvarchar
BloodSpotMessageResultsStatusCodes,CodeDescription,nvarchar
BloodSpotMessageResultsStatusCodes,Deleted,bit
BloodSpotMessageResultsStatusCodes,crate_pk,bigint
BloodSpotMessageResultsStatusCodes,_src_hash,varchar
Care_Plan_Interventions,Box_1,varchar
Care_Plan_Interventions,Box_2,varchar
Care_Plan_Interventions,Box_3,varchar
Care_Plan_Interventions,Box_4,varchar
Care_Plan_Interventions,Box_5,varchar
Care_Plan_Interventions,Box_6,varchar
